Roll_No,BW_Mbps,Delay_ms,Connection_Mode,Message_Size_Bytes,Message_ID,RTT_ms
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,128,1,217.29612350463867
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,128,2,208.5134983062744
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,128,3,203.5658359527588
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,128,4,204.84137535095215
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,128,5,205.13057708740234
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,128,6,208.510160446167
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,128,7,201.0362148284912
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,128,8,201.4021873474121
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,128,9,201.37548446655273
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,128,10,202.38900184631348
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,512,1,202.24475860595703
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,512,2,205.28268814086914
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,512,3,204.62274551391602
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,512,4,202.48889923095703
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,512,5,205.97195625305176
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,512,6,207.11493492126465
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,512,7,206.83956146240234
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,512,8,203.4475803375244
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,512,9,213.11068534851074
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,512,10,211.32564544677734
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,1024,1,201.55620574951172
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,1024,2,203.46331596374512
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,1024,3,203.06801795959473
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,1024,4,205.84964752197266
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,1024,5,206.73346519470215
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,1024,6,209.24854278564453
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,1024,7,207.03983306884766
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,1024,8,203.8576602935791
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,1024,9,201.03907585144043
CS-BTC25-39,PARINITA DEVI,5,50ms,persistent,1024,10,205.02424240112305
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,128,1,403.900146484375
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,128,2,403.15985679626465
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,128,3,402.646541595459
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,128,4,403.0613899230957
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,128,5,402.19950675964355
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,128,6,403.001070022583
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,128,7,403.8851261138916
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,128,8,403.0606746673584
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,128,9,403.84531021118164
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,128,10,402.93288230895996
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,512,1,403.0718803405762
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,512,2,404.53314781188965
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,512,3,402.77957916259766
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,512,4,405.19189834594727
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,512,5,404.6769142150879
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,512,6,403.61523628234863
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,512,7,402.66990661621094
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,512,8,403.76973152160645
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,512,9,403.6531448364258
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,512,10,403.64861488342285
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,1024,1,402.01401710510254
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,1024,2,402.1933078765869
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,1024,3,402.6954174041748
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,1024,4,402.6799201965332
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,1024,5,403.0265808105469
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,1024,6,401.35669708251953
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,1024,7,403.63359451293945
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,1024,8,402.6660919189453
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,1024,9,403.533935546875
CS-BTC25-39,PARINITA DEVI,5,50ms,new_connection,1024,10,406.3427448272705
